position,author_name,link,volgers,favorieten,gelezen,aanhetlezen,wiliklezen,favoriet,recensies,artikelen,newsroom,spots,topics
1403,Graham Greene,https://www.hebban.nl/auteur/graham-greene,15,24,310,3,149,24,15,3,,4,
1404,Frederik van Eeden,https://www.hebban.nl/auteur/frederik-van-eeden,4,35,1148,10,121,35,7,,,8,
1405,Karen Swan,https://www.hebban.nl/auteur/karen-swan,12,27,478,24,1123,27,106,4,,3,
1406,David Gemmell,https://www.hebban.nl/auteur/david-gemmell-2,11,28,333,16,152,28,4,2,,1,
1407,Lisa See,https://www.hebban.nl/auteur/lisa-see,5,34,213,2,146,34,17,,,1,
1408,Doortje Stam,https://www.hebban.nl/auteur/doortje-stam,39,,1,0,0,0,0,,,,
1409,Heinz G. Konsalik,https://www.hebban.nl/auteur/heinz-g-konsalik,12,27,917,6,216,27,2,,,,
1410,Pat Craenbroek,https://www.hebban.nl/auteur/pat-craenbroek,16,23,324,10,352,23,123,1,,6,
1411,Glenn Cooper,https://www.hebban.nl/auteur/glenn-cooper,24,15,309,4,154,15,39,,,,1
1412,Marte Jongbloed,https://www.hebban.nl/auteur/marte-jongbloed,33,6,218,5,175,6,37,,1,5,
1413,Gilly Macmillan,https://www.hebban.nl/auteur/gilly-macmillan,23,16,256,4,200,16,38,4,,,
1414,Tara Westover,https://www.hebban.nl/auteur/tara-westover,0,39,357,21,311,39,21,,,1,
1415,Katharine Kerr,https://www.hebban.nl/auteur/katharine-kerr,26,13,615,4,458,13,8,,,4,
1416,Sonja Barend,https://www.hebban.nl/auteur/sonja-barend,11,28,608,18,147,28,20,2,3,3,
1417,Teri Terry,https://www.hebban.nl/auteur/teri-terry,8,31,332,11,484,31,47,,,6,
1418,Zadie Smith,https://www.hebban.nl/auteur/zadie-smith,8,31,394,40,267,31,12,1,,4,
1419,Sara Raasch,https://www.hebban.nl/auteur/sara-raasch,18,21,377,14,536,21,58,,,15,
1420,Alain de Botton,https://www.hebban.nl/auteur/alain-de-botton,20,19,301,17,199,19,13,,,1,
1421,Phillip Margolin,https://www.hebban.nl/auteur/phillip-margolin,30,8,399,4,78,8,33,1,,1,
1422,Alice Feeney,https://www.hebban.nl/auteur/alice-feeney,10,28,993,10,922,28,77,2,,2,
1423,Anders Roslund,https://www.hebban.nl/auteur/roslund,19,19,378,11,448,19,35,,,2,
1424,Carla Kovach,https://www.hebban.nl/auteur/carla-kovach,8,30,821,33,1032,30,42,,,,
1425,Michael Ridpath,https://www.hebban.nl/auteur/michael-ridpath,25,13,187,1,28,13,13,1,,,
1426,Elizabeth Day,https://www.hebban.nl/auteur/elizabeth-day,5,33,1007,51,755,33,30,,,,
1427,Maaike Möllmann,https://www.hebban.nl/auteur/maaike-mollmann,36,2,14,1,5,2,3,,,,
1428,Sanne Terlouw,https://www.hebban.nl/auteur/sanne-terlouw,28,10,677,12,236,10,41,,,,
1429,Art Spiegelman,https://www.hebban.nl/auteur/art-spiegelman,,37,260,5,59,35,10,,,5,
1430,Renee Knight,https://www.hebban.nl/auteur/renee-knight,18,20,762,18,753,20,52,2,1,3,
1431,Wouter Laumans,https://www.hebban.nl/auteur/wouter-laumans,0,38,392,35,297,38,13,2,1,,
1432,Terry Van Driel,https://www.hebban.nl/auteur/terry-van-driel,36,2,8,0,0,2,3,,,,
1433,Miquel Bulnes,https://www.hebban.nl/auteur/miquel-bulnes,13,25,260,18,288,25,13,3,,2,
